,FSH_bld,InhB,R_FSH_des,InhA_delay,FSH_pit,GnRH_R_a,FSH_R,R_FSH,freq
Ob_01,0,0,0,1,1,0,0,1,0
Ob_02,1,0,1,0,1,0,1,0,0
Ob_03,1,0,1,0,1,0,1,0,1
Ob_04,1,1,1,0,1,1,1,0,1
Ob_05,0,1,1,0,0,1,1,0,1
Ob_06,1,1,1,0,0,1,1,0,1
Ob_07,0,1,1,0,0,1,1,0,0
Ob_08,0,0,0,1,0,1,0,1,0
Ob_09,0,0,0,1,0,0,0,1,0
Ob_10,0,0,0,1,1,0,0,1,0
Ob_11,1,0,1,0,1,0,1,0,0
Ob_12,1,1,1,0,1,1,1,0,1
Ob_13,1,1,1,0,0,1,1,0,1
Ob_14,1,1,1,0,0,1,1,0,0
Ob_15,0,0,0,1,0,1,0,1,0
Ob_16,0,0,0,1,0,0,0,1,0
Ob_17,0,0,1,0,1,0,1,0,0
Ob_18,1,0,1,0,1,0,1,0,1
Ob_19,1,1,1,0,1,1,1,0,1
Ob_20,1,1,1,0,0,1,1,0,1
Ob_21,0,0,0,1,0,1,0,1,0
Ob_22,0,0,0,1,0,0,0,1,0
Ob_23,0,0,0,1,1,0,0,1,0
Ob_24,0,0,0,0,1,0,0,1,0
Ob_25,1,0,1,0,1,0,1,0,1
Ob_26,1,1,1,0,1,1,1,0,1
Ob_27,1,1,1,0,0,1,1,0,1
