,R_GnRH_a,R_GnRH_i,GnRH_R_i,GnRH,GnRH_R_a,freq,mass
Ob_01,1,0,0,0,0,0,0
Ob_02,1,0,0,0,0,1,0
Ob_03,0,1,1,1,1,1,0
Ob_04,0,1,1,1,1,1,1
Ob_05,0,1,1,1,1,1,0
Ob_06,0,1,1,1,1,0,0
Ob_07,1,0,0,0,0,0,1
Ob_08,1,0,0,0,0,0,0
Ob_09,1,0,0,0,0,1,0
Ob_10,1,1,1,1,1,1,0
Ob_11,0,1,1,1,1,1,0
Ob_12,0,1,1,1,1,1,1
Ob_13,0,1,1,1,1,1,0
Ob_14,0,1,1,1,1,0,0
Ob_15,0,0,0,0,0,0,1
Ob_16,1,0,0,0,0,0,1
Ob_17,1,0,0,0,0,0,0
Ob_18,1,0,0,0,0,1,0
Ob_19,1,1,1,1,1,1,0
Ob_20,0,1,1,1,1,1,0
Ob_21,0,1,1,1,1,1,1
Ob_22,0,1,1,1,1,0,0
Ob_23,0,1,1,1,1,0,1
Ob_24,1,0,0,0,0,0,1
Ob_25,1,0,0,0,0,0,0
Ob_26,1,0,0,0,0,1,0
Ob_27,1,1,1,0,1,1,0
Ob_28,0,1,1,1,1,1,0
Ob_29,0,1,1,1,1,1,1
Ob_30,0,1,1,1,1,1,0
