,LH_bld,LH_Pit,P4,R_LH_des,E2,GnRH_R_a,R_LH,LH_R
Ob_01,0,0,0,0,0,0,1,0
Ob_02,0,1,0,0,0,1,1,0
Ob_03,0,1,0,1,0,1,0,1
Ob_04,0,1,0,1,1,1,0,1
Ob_05,1,1,0,1,0,1,0,1
Ob_06,1,0,0,1,0,1,0,1
Ob_07,0,0,1,0,1,1,1,0
Ob_08,0,0,1,0,1,0,1,0
Ob_09,0,0,1,0,0,0,1,0
Ob_10,0,0,0,0,0,0,1,0
Ob_11,0,1,0,0,0,1,1,0
Ob_12,0,1,0,1,1,1,0,1
Ob_13,1,1,0,1,0,1,0,1
Ob_14,1,0,0,1,0,1,0,1
Ob_15,0,0,1,1,1,1,0,1
Ob_16,0,0,1,0,1,0,1,0
Ob_17,0,0,0,0,0,0,1,0
Ob_18,0,1,0,0,0,1,1,0
Ob_19,0,1,0,1,1,1,0,1
Ob_20,1,1,0,1,1,1,0,1
Ob_21,1,0,0,1,0,1,0,1
Ob_22,0,0,1,1,1,1,0,1
Ob_23,0,0,1,0,1,1,1,0
Ob_24,0,0,1,0,1,0,1,0
Ob_25,0,0,0,0,0,0,1,0
Ob_26,0,1,0,0,0,1,1,0
Ob_27,0,1,0,1,1,1,0,1
Ob_28,1,1,0,1,1,1,0,1
Ob_29,1,0,0,1,0,1,0,1
